emp	ABCA13	12131	missense	[4,2,13,4,2,1,1,6,5,17,1,13,5,1,3,3,1,1,1,2,4,2,5,2,5,1,16,2,1,1,1,4,4,4,1,28,12,1,2,1,9,4,5,2,3,2,1,3,2,5]
kin	ABCA13	12131	missense	[2,14,1,1,1,19,1,1,5,5,7,1,2,4,5,24,4,14,3,8,1,40,1,1,1,3,2,3,1,2,1,1,1,1,4,1,1,1,1,1,1,1,18,1,1,3,13]
emp	ABCA2	7278	synonymous	[6,1,3,1,2,3,8,22,7,3,1,4,1,9,1,3,16,5,1,1,2,9,9,1,6,5,21,6,17,2,3,4,3,9,26,3,5,1,1,7,1,17,9,11,21,15,1,26,31,1]
kin	ABCA2	7278	synonymous	[4,2,1,36,5,7,1,3,19,3,2,1,5,1,4,1,1,2,8,3,1,12,2,6,2]
emp	ABCA2	7278	missense	[1,2,1,1,3,8]
kin	ABCA2	7278	missense	[1,2,1,2,1,3]
emp	ABCA3	5097	synonymous	[1,2,33,3,3,1,4,2,2,4,20,6,5,1,6,1,10,3,1,5,2,3,1,5,5,1,6,2,1]
kin	ABCA3	5097	synonymous	[1,6,1,1,2,24,1,4,6,31,30,14,44]
emp	ABCA3	5097	missense	[4,4,1,1,1]
kin	ABCA3	5097	missense	[1,1,1,3,47,1,4,1]
emp	ABCA4	6782	synonymous	[17,2,1,1,3,1,6,5,1,4,2,2,4,6,2,7,1,21,1]
kin	ABCA4	6782	synonymous	[1,27,17,1,3,1,1,1,3,12,1,4,10,4,3,1,7]
emp	ABCA4	6782	missense	[9,5,32,17,1,1,19,2,1,1,3,6]
kin	ABCA4	6782	missense	[20,1,2,1,6,2,1,2,1,1,43,1,2,3,2,1,2,34]
emp	ABCA5	4909	synonymous	[1,13,11,15,1,3,2,3,2,2,5,8,3,4,9,2,1,5]
kin	ABCA5	4909	synonymous	[2,5,4,1,18,4,1,1,3,1,5,21,5,35,2,4,1]
emp	ABCA5	4909	missense	[5,1,2,1,3,2,1,8,1,1,2,2,2]
kin	ABCA5	4909	missense	[38,1,1,2]
emp	ABCA7	5541	synonymous	[2,17,2,1,15,3,3,2,1,3,20,10,4,5,6,1,4,5,5,2,1,4,2,5,4,5,6,12,9,1,3,1,33,17,3,5,1,2,3,2,1,6]
kin	ABCA7	5541	synonymous	[2,2,1,1,16,17,1,1,2,8,1,1,3,38,17]
emp	ABCA7	5541	missense	[5,14,1,3,3,3,1,2,1,3,9,1,3,1,2,2,1,2,4,2,7,1,2,3,4,1,1,1,8,2,3,1,2,4]
kin	ABCA7	5541	missense	[1,2,1,2,1,4,1,2,1,2,1,1,1,1,3,10,2,11,2,1,1]
emp	ABCB1	3492	synonymous	[1,4,1,11]
kin	ABCB1	3492	synonymous	[7,2]
emp	ABCB1	3492	missense	[1,2,1]
kin	ABCB1	3492	missense	[1,1,1,1,1,8]
emp	ABCB10	1710	synonymous	[7,19,1]
kin	ABCB10	1710	synonymous	[1,1]
emp	ABCB10	1710	missense	[1,5,2]
kin	ABCB10	1710	missense	[1]
emp	ABCB11	4067	synonymous	[5,1,1,7,2,6,4,8]
kin	ABCB11	4067	synonymous	[15,4,4]
emp	ABCB11	4067	missense	[31,1,4,29]
kin	ABCB11	4067	missense	[1,1,1]
emp	ABCB5	3944	synonymous	[1,29,9,15,21,1,9,3,2,8,4,9,3]
kin	ABCB5	3944	synonymous	[14,5,1,1,1,10,1,1,1]
emp	ABCB5	3944	missense	[23,11,1,1,5,23,9,2]
kin	ABCB5	3944	missense	[1,1,1,2,1,3,1,1,2]
emp	ABCB6	2504	synonymous	[1,6,2,6,5,6,1,18,1,5,2,3,6,3,14]
kin	ABCB6	2504	synonymous	[5,12,2,43,1]
emp	ABCB6	2504	missense	[2,8,3]
kin	ABCB6	2504	missense	[8,2,2,1]
emp	ABCB7	2129	synonymous	[2,4,3,3,7]
kin	ABCB7	2129	synonymous	[1,1,4,1,43,1]
emp	ABCB7	2129	missense	[1,7,2]
kin	ABCB7	2129	missense	[1,1,1,1]
emp	ABCB9	2413	synonymous	[1,2,18,8,2,2,7,2,13,2,1,3,6,3,1,1,7,7,3,2,17,2,2,40,2,1,1,32]
kin	ABCB9	2413	synonymous	[2,2,4,12]
emp	ABCB9	2413	missense	[1,1,6,1,3,1]
kin	ABCB9	2413	missense	[1,1,3]
emp	ABCC10	4599	synonymous	[1,1,1,1,6,14,31,1,1,1,14,2,4,1,5,2]
kin	ABCC10	4599	synonymous	[1,1,27,2,1,2,4,1,1,2,7,1]
emp	ABCC10	4599	missense	[10,2,1,4,3,1,31,5,2,1,2,1,9,5,11,6]
kin	ABCC10	4599	missense	[1,2,1,5,2,2,3,2,2,2]
emp	ABCC2	4615	synonymous	[9,6,1,2,1,2,24,47,2,5,7,3,1,2,2,7,1,1,1,8,1,5,24]
kin	ABCC2	4615	synonymous	[25,14,1,1,2,9,1,1,13,7,16,43,41,3,3]
emp	ABCC2	4615	missense	[1,1,1,2,1,1,12,2,2,1,2,21,1,6,10,4]
