Name	Rate
q_A_C	0.001
q_A_G	0.001
q_A_T	0.001
q_C_A	0.001
q_C_G	0.001
q_C_T	0.001
q_G_A	0.001
q_G_C	0.001
q_G_T	0.001
q_T_A	0.001
q_T_C	0.001
q_T_G	0.001
